Rk.,Player,Result,Game Date,EV (MPH),LA (Â°),Pitch (MPH),Dist (ft),Vs.,var10
290,Ryan McMahon,home_run,2019,109.3,23,85.1,444,MIA,Graphs
291,Pete Alonso,home_run,2019,114.5,30,88.5,444,STL,Graphs
292,Adam Eaton,home_run,2019,108.1,24,94.4,444,PHI,Graphs
293,Nomar Mazara,home_run,2019,110.5,27,75.8,444,TOR,Graphs
294,Jorge Soler,home_run,2019,109.5,25,94.5,444,DET,Graphs
295,Pete Alonso,home_run,2019,112.8,21,95.3,444,MIA,Graphs
296,Jeff McNeil,home_run,2019,106.8,32,95.2,444,ARI,Graphs
297,Jonathan Villar,home_run,2019,108.3,29,93.4,443,LAD,Graphs
298,Jonathan Villar,home_run,2019,108.8,35,86.6,443,TB,Graphs
299,Christian Vazquez,home_run,2019,106.6,28,92.2,443,BAL,Graphs
300,Christian Yelich,home_run,2019,110.8,28,84.9,443,CHC,Graphs
301,Nick Ahmed,home_run,2019,106.5,21,92.5,443,COL,Graphs
302,Adalberto Mondesi,home_run,2019,106.2,25,98.1,443,HOU,Graphs
303,Miguel Sano,home_run,2019,113.8,32,81.8,443,OAK,Graphs
304,Miguel Sano,home_run,2019,109.4,26,89.7,443,ATL,Graphs
305,Ketel Marte,home_run,2019,105.8,26,84.2,443,BOS,Graphs
306,Tommy Pham,home_run,2019,109.5,26,88.5,443,ARI,Graphs
307,Joey Gallo,home_run,2019,109.8,29,91.6,443,PIT,Graphs
308,Willson Contreras,home_run,2019,108.6,29,77.4,443,LAA,Graphs
309,Juan Soto,home_run,2019,108.9,24,88.9,443,NYM,Graphs
310,Ryan Braun,home_run,2019,111.7,20,92.6,443,NYM,Graphs
311,Rafael Devers,home_run,2019,109.5,23,81.8,443,TEX,Graphs
312,Juan Soto,home_run,2019,111.3,25,91.4,443,BAL,Graphs
313,Sam Travis,home_run,2019,107.7,23,92.6,443,LAA,Graphs
314,Christian Walker,home_run,2019,107.2,29,81.9,443,SD,Graphs
315,Bryce Harper,home_run,2019,106.7,24,72.6,443,ATL,Graphs
316,Jason Castro,home_run,2019,110.1,26,94.6,443,BAL,Graphs
317,Brandon Crawford,home_run,2019,104.2,27,92.9,443,COL,Graphs
318,Ian Happ,home_run,2019,104.8,27,94.7,443,STL,Graphs
319,Jason Castro,home_run,2019,108.5,27,85.5,443,DET,Graphs
